2024.11.01 14:28:24.229 | Hello World
2024.11.01 14:28:48.490 | Hello World
2024.11.01 14:28:48.490 | 2024
2024.11.01 14:28:48.490 | 127.236
2024.11.01 14:30:17.753 | Hello World
2024.11.01 14:30:17.753 | 2024
2024.11.01 14:30:17.753 | 127.236
2024.11.01 14:30:17.753 | string : Hello world Integer : 5 Double : 123.456
2024.11.01 14:30:41.203 | Hello World
2024.11.01 14:30:41.203 | 2024
2024.11.01 14:30:41.203 | 127.236
2024.11.01 14:30:41.203 | string : Hello world; Integer : 5; Double : 123.456
2024.11.01 14:32:53.526 | Hello World
2024.11.01 14:32:53.526 | 2024
2024.11.01 14:32:53.526 | 127.236
2024.11.01 14:32:53.526 | string : Hello world; Integer : 5; Double : 123.456
2024.11.01 14:32:53.526 | Hello World; 5; 123.46;
2024.11.01 14:33:22.407 | Hello World
2024.11.01 14:33:22.407 | 2024
2024.11.01 14:33:22.407 | 127.236
2024.11.01 14:33:22.407 | string : Hello world; Integer : 5; Double : 123.456
2024.11.01 14:33:22.407 | Hello World; 5; 123.46;
2024.11.01 14:43:14.183 | Hello World
2024.11.01 14:43:14.183 | 2024
2024.11.01 14:43:14.183 | 127.236
2024.11.01 14:43:14.183 | 5123.456
2024.11.01 14:43:14.183 | Hello World; 5; 123.46;
2024.11.01 14:43:28.567 | Hello World
2024.11.01 14:43:28.567 | 2024
2024.11.01 14:43:28.567 | 127.236
2024.11.01 14:43:28.567 | 5123.456
2024.11.01 14:43:28.567 | Hello World; 5; 123.46;
2024.11.01 14:44:15.714 | Hello World
2024.11.01 14:44:15.714 | 2024
2024.11.01 14:44:15.714 | 127.236
2024.11.01 14:44:15.714 | 5123.456
2024.11.01 14:44:15.714 | Hello World; 5; 123.46;
2024.11.01 14:44:36.326 | Hello World
2024.11.01 14:44:36.326 | 2024
2024.11.01 14:44:36.326 | 127.236
2024.11.01 14:44:36.326 | 5123.456
2024.11.01 14:44:36.326 | Hello World; 5; 123.46;
2024.11.01 14:44:39.821 | Hello World
2024.11.01 14:44:39.821 | 2024
2024.11.01 14:44:39.821 | 127.236
2024.11.01 14:44:39.821 | 5123.456
2024.11.01 14:44:39.821 | Hello World; 5; 123.46;
2024.11.01 14:44:43.100 | Hello World
2024.11.01 14:44:43.100 | 2024
2024.11.01 14:44:43.100 | 127.236
2024.11.01 14:44:43.100 | 5123.456
2024.11.01 14:44:43.100 | Hello World; 5; 123.46;
2024.11.01 14:45:00.041 | Hello World
2024.11.01 14:45:00.041 | 2024
2024.11.01 14:45:00.041 | 127.236
2024.11.01 14:45:00.041 | 5123.456
2024.11.01 14:45:00.041 | Hello World; 5; 123.46;
2024.11.01 14:45:31.603 | Hello World
2024.11.01 14:45:32.421 | 2024
2024.11.01 14:45:32.421 | 127.236
2024.11.01 14:45:32.421 | 5123.456
2024.11.01 14:45:32.421 | Hello World; 5; 123.46;
2024.11.01 14:45:45.719 | Hello World
2024.11.01 14:45:45.719 | 2024
2024.11.01 14:45:45.719 | 127.236
2024.11.01 14:45:45.719 | 5123.456
2024.11.01 14:45:45.719 | Hello World; 5; 123.46;
2024.11.01 14:46:01.935 | Hello World
2024.11.01 14:46:01.935 | 2024
2024.11.01 14:46:01.935 | 127.236
2024.11.01 14:46:01.935 | 5123.456
2024.11.01 14:46:01.935 | Hello World; 5; 123.46;
